market,arrival_date,price
Ludhiana,2016-01-11,390
Midnapur (KOL),2016-01-11,
Mumbai (CC),2016-01-11,437
Muzaffurpur (CC),2016-01-11,
Chittoor,2016-01-11,410
Indore (CC),2016-01-11,410
Patna,2016-01-12,
Surat,2016-01-12,
Muzaffurpur (CC),2016-01-12,
Mumbai (CC),2016-01-12,410
Midnapur (KOL),2016-01-12,
Ludhiana,2016-01-12,358
Hyderabad,2016-01-12,365
E.Godavari,2016-01-12,363
Mysuru,2016-01-12,398
Asansole,2016-01-12,
Bengaluru (CC),2016-01-12,395
Brahmapur (OD),2016-01-12,
Burdwan (CC),2016-01-12,
Chennai (CC),2016-01-12,402
Chittoor,2016-01-12,395
Delhi (CC),2016-01-12,390
Barwala,2016-01-12,374
Varanasi (CC),2016-01-12,420
Nagpur,2016-01-12,367
Pune,2016-01-12,410
Raipur,2016-01-12,377
Luknow (CC),2016-01-12,420
Kolkata (WB),2016-01-12,398
Kanpur (CC),2016-01-12,409
Jabalpur,2016-01-12,381
Indore (CC),2016-01-12,390
Namakkal,2016-01-12,390
Hospet,2016-01-12,360
Allahabad (CC),2016-01-12,409
Warangal,2016-01-12,370
W.Godavari,2016-01-12,363
Vizag,2016-01-12,361
Vijayawada,2016-01-12,363
Ranchi (CC),2016-01-12,
Bhopal,2016-01-12,385
Ajmer,2016-01-12,371
Ahmedabad,2016-01-12,402
Ahmedabad,2016-01-13,430
Ranchi (CC),2016-01-13,
Vijayawada,2016-01-13,384
Vizag,2016-01-13,390
W.Godavari,2016-01-13,384
Warangal,2016-01-13,398
Allahabad (CC),2016-01-13,409
Hospet,2016-01-13,372
Indore (CC),2016-01-13,400
Jabalpur,2016-01-13,407
Kanpur (CC),2016-01-13,433
Kolkata (WB),2016-01-13,424
Luknow (CC),2016-01-13,440
Raipur,2016-01-13,417
Surat,2016-01-13,
Varanasi (CC),2016-01-13,433
Pune,2016-01-13,430
Patna,2016-01-13,
Bhopal,2016-01-13,425
Nagpur,2016-01-13,392
Namakkal,2016-01-13,402
Asansole,2016-01-13,
Barwala,2016-01-13,395
Bengaluru (CC),2016-01-13,405
Brahmapur (OD),2016-01-13,
Burdwan (CC),2016-01-13,
Chennai (CC),2016-01-13,420
Chittoor,2016-01-13,413
Ajmer,2016-01-13,386
E.Godavari,2016-01-13,384
Hyderabad,2016-01-13,395
Ludhiana,2016-01-13,385
Midnapur (KOL),2016-01-13,
Mumbai (CC),2016-01-13,435
Muzaffurpur (CC),2016-01-13,
Mysuru,2016-01-13,422
Delhi (CC),2016-01-13,410
Pune,2016-01-14,430
Ranchi (CC),2016-01-14,
Vijayawada,2016-01-14,384
Vizag,2016-01-14,390
W.Godavari,2016-01-14,384
Warangal,2016-01-14,398
Allahabad (CC),2016-01-14,409
Bhopal,2016-01-14,420
Kolkata (WB),2016-01-14,424
Indore (CC),2016-01-14,400
Jabalpur,2016-01-14,408
Kanpur (CC),2016-01-14,433
Luknow (CC),2016-01-14,440
Raipur,2016-01-14,417
Surat,2016-01-14,
Varanasi (CC),2016-01-14,433
Hospet,2016-01-14,372
Patna,2016-01-14,
Chittoor,2016-01-14,413
Nagpur,2016-01-14,392
Namakkal,2016-01-14,402
Ajmer,2016-01-14,386
Asansole,2016-01-14,
Barwala,2016-01-14,386
Bengaluru (CC),2016-01-14,405
Brahmapur (OD),2016-01-14,
Burdwan (CC),2016-01-14,
Chennai (CC),2016-01-14,420
Ahmedabad,2016-01-14,430
Delhi (CC),2016-01-14,410
E.Godavari,2016-01-14,384
Hyderabad,2016-01-14,395
Ludhiana,2016-01-14,380
Midnapur (KOL),2016-01-14,
Mumbai (CC),2016-01-14,435
Muzaffurpur (CC),2016-01-14,
Mysuru,2016-01-14,422
Ranchi (CC),2016-01-15,
Vijayawada,2016-01-15,384
Vizag,2016-01-15,390
W.Godavari,2016-01-15,384
Warangal,2016-01-15,388
Allahabad (CC),2016-01-15,405
Bhopal,2016-01-15,420
Hospet,2016-01-15,372
Kolkata (WB),2016-01-15,424
Jabalpur,2016-01-15,400
Kanpur (CC),2016-01-15,433
Pune,2016-01-15,420
Luknow (CC),2016-01-15,440
Raipur,2016-01-15,417
Surat,2016-01-15,
Varanasi (CC),2016-01-15,427
Indore (CC),2016-01-15,400
Patna,2016-01-15,
Chittoor,2016-01-15,413
Nagpur,2016-01-15,390
Ajmer,2016-01-15,386
Asansole,2016-01-15,
Barwala,2016-01-15,386
Bengaluru (CC),2016-01-15,405
Brahmapur (OD),2016-01-15,
Burdwan (CC),2016-01-15,
Chennai (CC),2016-01-15,420
Ahmedabad,2016-01-15,430
Namakkal,2016-01-15,402
E.Godavari,2016-01-15,384
Hyderabad,2016-01-15,385
Ludhiana,2016-01-15,386
Midnapur (KOL),2016-01-15,
Mumbai (CC),2016-01-15,425
Muzaffurpur (CC),2016-01-15,
Mysuru,2016-01-15,422
Delhi (CC),2016-01-15,400
Warangal,2016-01-16,388
W.Godavari,2016-01-16,384
Pune,2016-01-16,420
Vijayawada,2016-01-16,384
Ranchi (CC),2016-01-16,
Allahabad (CC),2016-01-16,405
Vizag,2016-01-16,392
Bhopal,2016-01-16,420
Varanasi (CC),2016-01-16,427
Indore (CC),2016-01-16,405
Jabalpur,2016-01-16,400
Kolkata (WB),2016-01-16,424
Luknow (CC),2016-01-16,440
Raipur,2016-01-16,410
Surat,2016-01-16,
Patna,2016-01-16,
Hospet,2016-01-16,372
Kanpur (CC),2016-01-16,433
Namakkal,2016-01-16,402
Mysuru,2016-01-16,422
Nagpur,2016-01-16,387
Ahmedabad,2016-01-16,430
Ajmer,2016-01-16,378
Asansole,2016-01-16,
Barwala,2016-01-16,386
Brahmapur (OD),2016-01-16,
Burdwan (CC),2016-01-16,
Chennai (CC),2016-01-16,420
Bengaluru (CC),2016-01-16,405
Delhi (CC),2016-01-16,400
E.Godavari,2016-01-16,384
Hyderabad,2016-01-16,385
Ludhiana,2016-01-16,386
Midnapur (KOL),2016-01-16,
Mumbai (CC),2016-01-16,425
Muzaffurpur (CC),2016-01-16,
Chittoor,2016-01-16,413
Bhopal,2016-01-17,410
Ranchi (CC),2016-01-17,
Vijayawada,2016-01-17,384
Vizag,2016-01-17,392
W.Godavari,2016-01-17,384
Warangal,2016-01-17,388
Allahabad (CC),2016-01-17,405
Hospet,2016-01-17,372
Pune,2016-01-17,420
Jabalpur,2016-01-17,400
Kanpur (CC),2016-01-17,424
Kolkata (WB),2016-01-17,419
Luknow (CC),2016-01-17,432
Raipur,2016-01-17,405
Surat,2016-01-17,
Varanasi (CC),2016-01-17,427
Indore (CC),2016-01-17,400
Patna,2016-01-17,
Chittoor,2016-01-17,413
Nagpur,2016-01-17,383
Ahmedabad,2016-01-17,430
Ajmer,2016-01-17,378
Asansole,2016-01-17,
Barwala,2016-01-17,386
Bengaluru (CC),2016-01-17,405
Brahmapur (OD),2016-01-17,
Burdwan (CC),2016-01-17,
Chennai (CC),2016-01-17,420
Namakkal,2016-01-17,402
Delhi (CC),2016-01-17,400
E.Godavari,2016-01-17,384
Hyderabad,2016-01-17,385
Ludhiana,2016-01-17,385
Midnapur (KOL),2016-01-17,
Mumbai (CC),2016-01-17,425
Muzaffurpur (CC),2016-01-17,
Mysuru,2016-01-17,422
Ranchi (CC),2016-01-18,
Vijayawada,2016-01-18,377
W.Godavari,2016-01-18,377
Warangal,2016-01-18,388
Allahabad (CC),2016-01-18,414
Bhopal,2016-01-18,410
Hospet,2016-01-18,372
Kolkata (WB),2016-01-18,409
Jabalpur,2016-01-18,395
Kanpur (CC),2016-01-18,424
Pune,2016-01-18,420
Luknow (CC),2016-01-18,432
Raipur,2016-01-18,405
Surat,2016-01-18,
Varanasi (CC),2016-01-18,427
Indore (CC),2016-01-18,400
Patna,2016-01-18,
Vizag,2016-01-18,385
Ahmedabad,2016-01-18,430
Nagpur,2016-01-18,380
Ajmer,2016-01-18,378
Asansole,2016-01-18,
Barwala,2016-01-18,386
Bengaluru (CC),2016-01-18,405
Brahmapur (OD),2016-01-18,
Burdwan (CC),2016-01-18,
Chennai (CC),2016-01-18,420
Chittoor,2016-01-18,413
Namakkal,2016-01-18,402
E.Godavari,2016-01-18,377
Hyderabad,2016-01-18,385
Ludhiana,2016-01-18,380
Midnapur (KOL),2016-01-18,
Mumbai (CC),2016-01-18,425
Muzaffurpur (CC),2016-01-18,
Mysuru,2016-01-18,422
Delhi (CC),2016-01-18,400
Pune,2016-01-19,420
Ranchi (CC),2016-01-19,
Vijayawada,2016-01-19,377
Vizag,2016-01-19,385
W.Godavari,2016-01-19,377
Warangal,2016-01-19,388
Allahabad (CC),2016-01-19,414
Bhopal,2016-01-19,410
Kanpur (CC),2016-01-19,424
Indore (CC),2016-01-19,400
Jabalpur,2016-01-19,397
Kolkata (WB),2016-01-19,409
Luknow (CC),2016-01-19,430
Raipur,2016-01-19,397
Surat,2016-01-19,
Varanasi (CC),2016-01-19,427
Hospet,2016-01-19,372
Patna,2016-01-19,
Namakkal,2016-01-19,402
Mysuru,2016-01-19,422
Ahmedabad,2016-01-19,415
Ajmer,2016-01-19,375
Asansole,2016-01-19,
Barwala,2016-01-19,386
Bengaluru (CC),2016-01-19,405
Brahmapur (OD),2016-01-19,
Burdwan (CC),2016-01-19,
Chennai (CC),2016-01-19,420
Nagpur,2016-01-19,380
Delhi (CC),2016-01-19,393
E.Godavari,2016-01-19,377
Hyderabad,2016-01-19,385
Ludhiana,2016-01-19,375
Midnapur (KOL),2016-01-19,
Mumbai (CC),2016-01-19,425
Muzaffurpur (CC),2016-01-19,
Chittoor,2016-01-19,413
Pune,2016-01-20,420
Ranchi (CC),2016-01-20,
Vijayawada,2016-01-20,372
Vizag,2016-01-20,380
W.Godavari,2016-01-20,372
Warangal,2016-01-20,388
Allahabad (CC),2016-01-20,419
Bhopal,2016-01-20,410
Kanpur (CC),2016-01-20,423
Indore (CC),2016-01-20,400
Jabalpur,2016-01-20,395
Kolkata (WB),2016-01-20,409
Luknow (CC),2016-01-20,430
Raipur,2016-01-20,397
Surat,2016-01-20,
Patna,2016-01-20,
Hospet,2016-01-20,362
Varanasi (CC),2016-01-20,427
Namakkal,2016-01-20,402
Mysuru,2016-01-20,422
Nagpur,2016-01-20,375
Ahmedabad,2016-01-20,415
Ajmer,2016-01-20,378
Asansole,2016-01-20,
Barwala,2016-01-20,386
Brahmapur (OD),2016-01-20,
Burdwan (CC),2016-01-20,
Chennai (CC),2016-01-20,420
Bengaluru (CC),2016-01-20,395
Delhi (CC),2016-01-20,393
E.Godavari,2016-01-20,372
Hyderabad,2016-01-20,385
Ludhiana,2016-01-20,375
Midnapur (KOL),2016-01-20,
Mumbai (CC),2016-01-20,425
Muzaffurpur (CC),2016-01-20,
Chittoor,2016-01-20,413
Bhopal,2016-01-21,410
Ranchi (CC),2016-01-21,
Vijayawada,2016-01-21,372
Vizag,2016-01-21,380
W.Godavari,2016-01-21,372
Warangal,2016-01-21,378
Allahabad (CC),2016-01-21,414
Hospet,2016-01-21,362
Pune,2016-01-21,410
Jabalpur,2016-01-21,395
Kanpur (CC),2016-01-21,423
Kolkata (WB),2016-01-21,412
Luknow (CC),2016-01-21,430
Raipur,2016-01-21,397
Surat,2016-01-21,
Varanasi (CC),2016-01-21,427
Indore (CC),2016-01-21,400
Patna,2016-01-21,
Chittoor,2016-01-21,413
Nagpur,2016-01-21,377
Ahmedabad,2016-01-21,415
Ajmer,2016-01-21,380
Asansole,2016-01-21,
Barwala,2016-01-21,390
Bengaluru (CC),2016-01-21,395
Brahmapur (OD),2016-01-21,
Burdwan (CC),2016-01-21,
Chennai (CC),2016-01-21,420
Namakkal,2016-01-21,402
Delhi (CC),2016-01-21,393
E.Godavari,2016-01-21,372
Hyderabad,2016-01-21,375
Ludhiana,2016-01-21,375
Midnapur (KOL),2016-01-21,
Mumbai (CC),2016-01-21,415
Muzaffurpur (CC),2016-01-21,
Mysuru,2016-01-21,410
Pune,2016-01-22,410
Ranchi (CC),2016-01-22,
Vizag,2016-01-22,380
W.Godavari,2016-01-22,374
Warangal,2016-01-22,378
Allahabad (CC),2016-01-22,414
Bhopal,2016-01-22,410
Hospet,2016-01-22,364
Kolkata (WB),2016-01-22,415
Jabalpur,2016-01-22,395
Kanpur (CC),2016-01-22,423
Patna,2016-01-22,
Luknow (CC),2016-01-22,430
Raipur,2016-01-22,399
Surat,2016-01-22,
Varanasi (CC),2016-01-22,427
Indore (CC),2016-01-22,400
Namakkal,2016-01-22,402
Vijayawada,2016-01-22,374
Mysuru,2016-01-22,410
Nagpur,2016-01-22,379
Ajmer,2016-01-22,393
Asansole,2016-01-22,
Barwala,2016-01-22,395
Bengaluru (CC),2016-01-22,397
Brahmapur (OD),2016-01-22,
Burdwan (CC),2016-01-22,
Chennai (CC),2016-01-22,420
Ahmedabad,2016-01-22,415
Delhi (CC),2016-01-22,400
E.Godavari,2016-01-22,374
Hyderabad,2016-01-22,375
Ludhiana,2016-01-22,375
Midnapur (KOL),2016-01-22,
Mumbai (CC),2016-01-22,415
Muzaffurpur (CC),2016-01-22,
Chittoor,2016-01-22,413
Ranchi (CC),2016-01-23,
Vijayawada,2016-01-23,379
W.Godavari,2016-01-23,379
Warangal,2016-01-23,388
Allahabad (CC),2016-01-23,428
Bhopal,2016-01-23,415
Hospet,2016-01-23,372
Kolkata (WB),2016-01-23,419
Jabalpur,2016-01-23,408
Kanpur (CC),2016-01-23,443
Luknow (CC),2016-01-23,440
Raipur,2016-01-23,415
Surat,2016-01-23,
Varanasi (CC),2016-01-23,433
Pune,2016-01-23,420
Indore (CC),2016-01-23,400
Patna,2016-01-23,
Vizag,2016-01-23,390
Namakkal,2016-01-23,406
Ajmer,2016-01-23,410
Asansole,2016-01-23,
Barwala,2016-01-23,408
Bengaluru (CC),2016-01-23,405
Brahmapur (OD),2016-01-23,
Burdwan (CC),2016-01-23,
Chennai (CC),2016-01-23,420
Chittoor,2016-01-23,413
Ahmedabad,2016-01-23,427
E.Godavari,2016-01-23,379
Delhi (CC),2016-01-23,421
Mysuru,2016-01-23,412
Muzaffurpur (CC),2016-01-23,
Mumbai (CC),2016-01-23,425
Nagpur,2016-01-23,393
Ludhiana,2016-01-23,390
Hyderabad,2016-01-23,385
Midnapur (KOL),2016-01-23,
Varanasi (CC),2016-01-24,440
Pune,2016-01-24,430
Ranchi (CC),2016-01-24,
Vijayawada,2016-01-24,385
Vizag,2016-01-24,395
W.Godavari,2016-01-24,385
Warangal,2016-01-24,398
Allahabad (CC),2016-01-24,428
Hospet,2016-01-24,382
Indore (CC),2016-01-24,405
Jabalpur,2016-01-24,417
Kolkata (WB),2016-01-24,419
Luknow (CC),2016-01-24,443
Raipur,2016-01-24,420
Surat,2016-01-24,
Patna,2016-01-24,
Bhopal,2016-01-24,423
Kanpur (CC),2016-01-24,443
Nagpur,2016-01-24,405
Mysuru,2016-01-24,412
Namakkal,2016-01-24,406
Ahmedabad,2016-01-24,439
Ajmer,2016-01-24,410
Asansole,2016-01-24,
Barwala,2016-01-24,410
Brahmapur (OD),2016-01-24,
Burdwan (CC),2016-01-24,
